23 февраля,8 марта,BU_Level1,BU_Level2,BU_Level3,BU_Level4,IT,ItemEAN,Qty,Unnamed: 11,Unnamed: 12,Unnamed: 13,age,baseprice,child,date,id,man,name,woman,Бокс,Видеоигры,Видеомонтаж,Вне праздника,Годовщина отношений,День Святого Валентина,День рождения,Кино,Кулинария,Музыка,Настольные игры,Новый год,Рисование,Рукоделие,Спорт,Туризм,Фотография,Футбол,Цветоводство,Чтение,cat_ya_id,cat_ya
1,0,"Парфюмерия, косметика",Косметика для ухода за кожей,Уход за лицом и телом для мужчин,Средства для ухода за лицом и телом мужские,0,3600521380789,1,,,,43.0,591.42,0,2020-02-06 17:41:46,,1,"L'Oreal Paris Men Expert Увлажняющий уход для лица ""Гидра Энергетик, Против 5 Признаков Усталости"", 50 мл",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8480713,Уход за лицом
1,0,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Серьги авторские,0,,1,,,,51.0,600.0,0,2020-02-05 16:48:45,,0,"Серьги ""Россыпью ягод"" синие (Lampwork) Ручная авторская работа",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634405,Серьги
1,0,"Рукоделие, творчество, хобби",Хобби детское,Моделирование,Сборная деревянная модель,0,4607100581284,1,,,,7.0,152.64,1,2020-02-09 23:53:04,,0,"Сборная деревянная модель ""Дилопхозавр""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10683226,Сборные модели
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Мультитул, нож туристический",Мультитул,0,037447027413,1,,,,31.0,2752.0,0,2020-02-08 18:23:48,,0,"Leatherman Squirt PS4 мультитул, Red",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15032315,Ножи и мультитулы
1,0,Канцелярские товары,Офисные и школьные канц. аксессуары,Глобус,Глобус для обучения,0,8003510582129,1,,,,35.70725388601036,1148.85,0,2020-02-08 13:07:37,,0,"Глобус ""Rotondo"" с политической картой мира, с подсветкой. Диаметр 32 см",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13858925,Глобусы
1,0,"Детские товары, игрушки",Спортивные товары для детей,Спортивный комплекс детский,Игрушка для песочницы,0,4607006440883,1,,,,6.0,18.1,1,2020-02-07 11:07:52,,0,"Совок детский Нордпласт, арт.074, со вставкой",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13488366,Наборы в песочницу
1,0,"Парфюмерия, косметика",Косметическая техника,Массажная техника,Электромассажер для тела,0,4627078980292,1,,,,35.07423580786026,679.5,0,2020-02-06 13:18:12,,0,"Импульсный массажер Gess M18, миостимулятор, 4 электрода",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6203660,Другие массажеры
1,0,"Парфюмерия, косметика",Косметическая техника,Массажная техника,Электромассажер для глаз и головы,0,7290013528285,1,,,,34.98203592814371,99.0,0,2020-02-07 19:48:36,,0,"Массажер для головы ""Bradex""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6203660,Другие массажеры
1,0,Канцелярские товары,Писче-бумажная продукция,Конверты,Конверт сувенир,0,4620759600557,1,,,,36.32,160.55,0,2020-02-09 09:44:15,,0,"Конверт для денег Эврика ""50 долларов"", 10 шт",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91007,Открытки
1,0,Галантерея,Путешествия,"Дорожные сумки, тележки",Сумка для активного отдыха,0,8592287004250,1,,,,50.0,2685.0,0,2020-02-05 20:03:22,,0,"Сумка спортивная Husky ""Gillet 43L"", цвет: черный",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7812201,Сумки
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Мультитул, нож туристический","Чехол для ножа, мультитула",0,037447102073,1,,,,40.09016393442623,547.0,0,2020-02-06 22:50:15,,0,"Карабин ""Leatherman"", цвет: серебристый",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15032315,Ножи и мультитулы
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая",Аккумулятор холода,0,4020716088228,2,,,,33.0,228.0,0,2020-02-07 23:14:52,,0,"Аккумулятор холода ""EZETIL Ice Akku"", 2х300 г",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,187621,Сумки-холодильники
1,0,Одежда,Одежда спортивная,Термобелье спортивное,"Термобелье мужское- кофта, футболка",0,4620005382107,1,,,,39.714285714285715,1606.5,0,2020-02-08 17:42:58,,1,"Водолазка унисекс Snodalen, цвет: темно-синий. UH01. Размер XL (52)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8276629,Термобелье
1,0,"Парфюмерия, косметика",Косметическая техника,Массажная техника,Массажная накидка,0,7290014119086,1,,,,49.0,1974.0,0,2020-02-08 21:47:41,,0,"Накидка массажная Bradex ""Здоровая спина""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6203656,Массажные кресла
1,0,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда мужская,Маска для сна,0,7290013528254,1,,,,20.0,355.0,0,2020-02-09 11:56:21,,1,"Маска для сна Bradex ""Морфей""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14732443,Дорожные аксессуары
1,0,"Детские товары, игрушки",Спортивные товары для детей,"Снегокат, тюбинг, сноускейт, ледянка",Тюбинг,0,2121123006200,1,,,,7.0,270.0,1,2020-02-06 12:24:42,,0,"Санки-сидушка ИГЛУ ""Таблетка"", диаметр 33 см",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13488215,Тюбинги
1,0,Одежда,Одежда спортивная,Термобелье спортивное,Термобелье мужское - штаны,0,4620005385757,1,,,,40.146341463414636,1283.0,0,2020-02-08 02:06:22,,1,"Леггинсы унисекс Snodalen, цвет: темно-синий. UT03E. Размер XXL",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8276629,Термобелье
1,0,Одежда,Одежда спортивная,Термобелье спортивное,Спортивные термоноски,0,8025006443578,1,,,,32.0,1012.0,0,2020-02-09 21:20:43,,0,"Носки горнолыжные Mico ""Ski"", цвет: черный. 0246. Размер L (41-43)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7814955,Термобелье
1,0,"Рукоделие, творчество, хобби",Рукоделие и творчество для взрослых,Создание украшений,Аксессуары для создания украшений,0,4002276108400,1,,,,46.0,420.62,0,2020-02-06 11:24:36,,0,"Карандаш механический ""Prym"" на керамической основе, цвет: белый",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13626503,Наборы для создания украшений
1,0,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Женский Кошелек,0,4670007582159,1,,,,36.26865671641791,1416.0,0,2020-02-05 20:07:45,,0,73003-44# Red Кошелек Бол. Malgrado,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812200,Кошельки
1,0,"Рукоделие, творчество, хобби",Хобби детское,Моделирование,Военно-историческая миниатюра,0, 4009803641447,1,,,,5.0,995.28,1,2020-02-09 17:08:45,,0,Revell Набор для сборки и раскрашивания Самолет Hawker Hurricane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10682608,Солдатики
1,0,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,Бинт для бокса,0,2000000003863,1,,,,35.0,359.4,0,2020-02-09 20:09:49,,0,"Бинты боксерские Everlast, длина 2,75 м, цвет: красный, 2шт",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,961222,Аксессуары и принадлежности
1,0,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,"Лапы, макивара для бокса",0,2000000005485,1,,,,48.0,5394.0,0,2020-02-08 23:33:15,,0,"Лапы боксерские Everlast ""Evergel Mantis"", изогнутые, цвет: серый, желтый, черный",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,961226,Тренировочные снаряды
1,0,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,Капа,0,2000000003931,1,,,,42.0,269.4,0,2020-02-08 10:51:59,,0,"Капа двухчелюстная ""Everlast""",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,294675,Спортивная защита
1,0,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,Перчатки для бокса,0,2000000000732,1,,,,29.64179104477612,2694.0,0,2020-02-05 07:25:19,,0,"Перчатки тренировочные Everlast ""Protex2 Training Gloves"", цвет: черный, 12 унций",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14730866,Боксерские
1,0,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,"Груша, мешок, стойка для бокса",0,2000000000671,1,,,,32.94285714285714,1199.4,0,2020-02-07 20:48:37,,0,"Мешок надувной Everlast Power Tower, цвет: желтый, черный, 160 см",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,961226,Тренировочные снаряды
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Жаровня, коптильня",0,4605986001551,1,,,,35.0,1423.5,0,2020-02-08 15:07:39,,0,"Коптильня двухуровневая Грилькофф, 158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5017483,"Грили, барбекю, коптильни"
1,0,Канцелярские товары,Чертежные принадлежности,"Линейка, транспортир",Линейка,0,8593540110282,1,,,,36.95335820895522,83.48,0,2020-02-06 21:55:44,,0,"Шаблон геометрических радиусов ""Koh-i-Noor"", цвет: дымчатый",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90752,Чертежные инструменты
1,0,Канцелярские товары,Чертежные принадлежности,"Линейка, транспортир",Линейка-угольник,0,8593540108418,1,,,,38.0,66.66,0,2020-02-05 13:57:56,,0,"Линейка-треугольник ""Koh-i-Noor"", с шаблонами окружностей, цвет: дымчатый",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90752,Чертежные инструменты
1,0,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Футбол,Гетры футбольные,0,5052137285299,1,,,,27.388349514563107,360.0,0,2020-02-06 12:42:05,,1,"Гетры футбольные мужские UMBRO, цвет: черный. 93265. Размер L (38/46)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7940846,Аксессуары
1,0,Электроника и электротовары,Игровые приставки и аксессуары,Геймпад для игровой приставки,Геймпад для игровой приставки,0,4714033642514,1,,,,32.639308855291574,625.0,0,2020-02-07 00:04:19,,0,Defender Game Racer Turbo RS3;Defender Game Racer Turbo RS3 геймпад,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91117,"Рули, джойстики, геймпады"
1,0,Галантерея,Кожгалантереи,"Ремень, пояс, подтяжки",Женский кожаный ремень,0,5415147710548,1,,,,35.802919708029194,670.73,0,2020-02-08 00:20:49,,0,"Ремень женский Lee Women Belt, цвет: черный. LY345301 80 0. Размер 80",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812175,Ремни и пояса
1,0,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские","Кулон, подвеска авторские",0,,1,,,,38.0,420.0,0,2020-02-05 12:30:38,,0,"Кулон ""Вороной Арион"" (Стекло, металл). Ручная авторская работа. PD0156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634401,Кулоны и подвески
1,0,Одежда,Одежда спортивная,Термобелье спортивное,Термобелье мужское- комплект,0,4690507146443,1,,,,32.0,1200.0,0,2020-02-07 09:17:55,,1,"Комплект термобелья мужской Серебряный пингвин, цвет: черный. 062Д. Размер S (46)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8276629,Термобелье
1,0,"Детские товары, игрушки",Спортивные товары для детей,"Снегокат, тюбинг, сноускейт, ледянка",Ледянка,0,4894001563338,1,,,,7.0,988.0,1,2020-02-09 16:42:18,,0,"Ледянка 1toy ""Angry Birds"", длина 94 см",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91572,Ледянки
1,0,"Парфюмерия, косметика",Косметическая техника,Массажная техника,Массажная подушка,0,6928132600117,1,,,,54.0,3832.26,0,2020-02-06 15:56:12,,0,"Массажная подушка uShiatsu , роликовый массаж, 3D массаж,подогрев, сеть, автоадаптер, автоотключение, GESS-129",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15806939,Массажные матрасы и подушки
1,0,Галантерея,Бижутерия,Браслет бижу,Бижу браслет со вставками женский,0,9316188047401,2,,,,39.0,279.0,0,2020-02-08 23:03:51,,0,"Браслет женский Kimmidoll ""Наоми (Красота)"", цвет: серебристый. KF0865",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634396,Браслеты
1,0,Галантерея,Путешествия,"Дорожные сумки, тележки",Сумка дорожная для путешествий,0,0000999999866,1,,,,34.53719008264463,778.14,0,2020-02-08 16:38:47,,0,"Несессер Wenger ""Toiletry Kit"", дорожный, цвет: черный",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7812208,Дорожные и спортивные сумки
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Мультитул, нож туристический",Нож туристический,0,6900000429297,1,,,,38.18441558441558,436.1,0,2020-02-07 22:36:05,,0,"Нож складной Stinger ""SA-580B"", черный, 8,4 см",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15032315,Ножи и мультитулы
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая",Термос для туризма,0,6939236321631,1,,,,48.0,2135.0,0,2020-02-05 11:40:16,,0,"Термос Stanley ""Classic Vacuum Bottle"", цвет: темно-синий, 0,75 л",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,90701,Термосы и термокружки
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Термопосуда для туризма, пикника",0,7290014734708,1,,,,34.833333333333336,591.0,0,2020-02-08 12:56:05,,0,"Термо ланч-бокс двойной Bradex Bento, зеленый, 1,5 л",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,936950,Туристическая посуда
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Термоконтейнер, термосумка походная",0,4750701321107,1,,,,33.0,1316.39,0,2020-02-07 23:14:52,,0,"Термосумка Norfin ""Luiro-L NFL"", цвет: голубой",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,187621,Сумки-холодильники
1,0,Галантерея,Бижутерия,Браслет бижу,Бижу шарм на браслет,0,2000000081403,1,,,,34.138888888888886,1499.5,0,2020-02-05 22:03:24,,0,"Браслет ""To Be Queen"", цвет: золотистый, коричневый. 06FABL002/29",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1634396,16742659","Браслеты,Украшения на тело"
1,0,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Мужская Зажим для денежных банкнот,0,4640009458776,1,,,,39.0,718.0,0,2020-02-06 19:46:14,,1,32006-3-5402D Brown Держатель Для Купюр Malgrado,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812200,Кошельки
1,0,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Мужское Портмоне,0,4607042288968,1,,,,26.0,955.0,0,2020-02-05 13:21:27,,1,"Кошелек мужской Dimanche ""Classic"", цвет: черный. 896",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812200,Кошельки
1,0,"Рукоделие, творчество, хобби",Рисование для детей,Товары для художников,Бумага для художников,0,4607026755899,1,,,,7.0,182.56,1,2020-02-07 19:59:55,,0,"Бумага для акварели ""Альт"", профессиональная, А3, 20 листов",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13828968,Бумага для рисования
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Горелка, плитка газовая туристическая",0,6939554100499,1,,,,42.0,1249.0,0,2020-02-09 08:43:22,,0,"Газовая горелка Fire-Maple Family, c пьезоэлементом. FMS-108",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13446358,Туристические горелки
1,0,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Столовые приборы для туризма, пикника",0,6939554110771,1,,,,37.0,1187.0,0,2020-02-09 11:02:48,,0,"Ловилка Fire-Maple ""Dandelion"". FMT-T23",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,936950,Туристическая посуда
1,0,Галантерея,Путешествия,"Дорожные сумки, тележки",Косметичка дорожная,0,000000455732,1,,,,46.0,565.29,0,2020-02-05 22:20:46,,0,"Сумка для аксессуаров ""Wenger"", цвет: черный. 6085011",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7812212,Косметички и бьюти-кейсы
1,0,"Рукоделие, творчество, хобби",Рукоделие и творчество для взрослых,Создание украшений,Материалы для создания украшений,0,7610877290577,1,,,,37.70935513169846,101.7,0,2020-02-09 19:58:43,,0,"62220155 Проволока медная ""Glorex"", 20 м х 0,4 мм",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13626503,Наборы для создания украшений
1,0,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Мужской Бумажник водителя,0,460704228381,1,,,,31.8,500.0,0,2020-02-06 17:57:47,,1,"Бумажник водителя Dimanche ""Loricata"", цвет: черный. 381",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812200,Кошельки
1,0,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Футбол,Мяч для футбола,0,4607060513615,1,,,,36.295081967213115,450.0,0,2020-02-07 01:04:32,,0,Мяч футбольный Larsen Kicker Run. Размер 5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14304975,Мячи
1,0,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Футбол,Перчатки для футбола,0,4690222009996,1,,,,35.666666666666664,470.0,0,2020-02-05 14:51:23,,0,"Перчатки вратарские Larsen Fighter, черный, зеленый, размер 6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7812170,Перчатки и варежки
1,0,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Женская Визитница/кредитница,0,2000000016467,1,,,,36.891891891891895,719.26,0,2020-02-07 12:58:46,,0,"Визитница ""Petek"", цвет: красный. 616.4000.10",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812198,Визитницы и кредитницы
1,0,Канцелярские товары,Писче-бумажная продукция,"Бланки, этикетки",Бейдж,0,4030969820766,2,,,,35.62135922330097,537.0,0,2020-02-06 08:48:31,,0,"Бейдж-идентификатор ""Centrum"", 50 шт",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14419975,Бейджи
1,0,Канцелярские товары,Писче-бумажная продукция,"Бланки, этикетки",Держатель для бейджа,0,4030969820773,3,,,,36.707317073170735,152.0,0,2020-02-06 09:28:43,,0,Centrum Зажим для бейджа 50 шт,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14419975,Бейджи
1,0,Одежда,Одежда спортивная,Термобелье спортивное,"Термобелье женское- кофта, футболка",0,4690507146429,1,,,,28.0,620.0,0,2020-02-07 14:18:38,,0,"Боди женское Серебряный пингвин, цвет: черный. 073. Размер M (46)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7811902,Футболки и топы
1,0,"Рукоделие, творчество, хобби",Рисование для детей,Товары для художников,Альбом для художников,0,4607112470965,1,,,,10.0,262.52,1,2020-02-05 20:07:09,,0,"Альбом для пастелей Palazzo ""Modern"", А3, цвет: слоновая кость, 20 листов. АПС3",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13626008,Альбомы для рисования
1,0,Галантерея,Аксессуары,Головные уборы,Женская шапка трикотажная,0,4603443509091,1,,,,30.0,883.5,0,2020-02-07 12:50:14,,0,"Шапка женская Canoe Irea, цвет: коричневый, оранжевый. 3443509. Размер 56/58",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7811935,Головные уборы
1,0,Галантерея,Аксессуары,Головные уборы,Женский берет,0,4603442310100,1,,,,48.80952380952381,837.0,0,2020-02-06 18:51:17,,0,"Берет женский Canoe Magda, цвет: молочный. 3442310. Размер 56/58",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7811935,Головные уборы
1,0,Галантерея,Аксессуары,Головные уборы,Мужская шапка трикотажная,0,4603431081813,1,,,,33.0,651.0,0,2020-02-05 21:42:01,,1,"Шапка Canoe Doppel, цвет: черный. 3431081. Размер 56/59",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7812167,Головные уборы
1,0,"Рукоделие, творчество, хобби",Рукоделие и творчество для взрослых,"Мозаика, гравюра, стразы",Набор для создания мозаики,0,6930136000169,1,,,,50.0,370.0,0,2020-02-07 23:29:30,,0,"Набор для творчества ""Алмазная мозаика. Две кошки"", 20 х 20 см",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15521478,Алмазная вышивка
1,0,"Рукоделие, творчество, хобби",Рукоделие и творчество для взрослых,"Мозаика, гравюра, стразы",Набор для создания картины со стразами,0,4627102305282,1,,,,34.0,1335.36,0,2020-02-09 10:42:05,,0,"Набор для изготовления картины со стразами Cristal ""Осень"", 86 см х 61 см",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15521478,Алмазная вышивка
1,0,Одежда,Одежда мужская,Основная одежда мужская,Футболка мужская,0,8433808395481,1,,,,33.852673267326736,899.59,0,2020-02-08 08:17:53,,1,"Футболка мужская Pepe Jeans London, цвет: черный. PM501594999. Размер M (46)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7940839,Футболки и майки
1,0,Текстиль,"Покрывало, чехол",Чехол,Еврочехол,0,8300750555037,1,,,,40.84251968503937,2895.0,0,2020-02-08 19:18:22,,0,"Чехол на 3-х местный диван Еврочехол ""Фантазия"", цвет: светло-зеленый, розовый, белый, 160-220 см",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11911278,Чехлы для мебели
1,0,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для мужчин,Воск для укладки мужской,0,5060088470053,1,,,,41.0,1422.08,0,2020-02-06 07:06:23,,1,"Lock Stock & Barrel Глина для моделирования с матовым эффектом ""85 карат"" 85 Karats Shaping Clay 100 гр",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13239550,Воск и паста
